l3_p31 CC1(C)c2cc3c(cc2-c2sc([*])cc21)C(C)(C)c1cc(-c2ccc(-c4cc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(-c5ccc([*])c7nsnc57)cc4C6(C)C)c4nsnc24)sc1-3
l3_p32 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12
l3_p33 COc1c(F)c(-c2ccc(-c3c(OC)c(F)c(-c4ccc([*])s4)c4nsnc34)s2)c2nsnc2c1[*]
l3_p34 Oc1cc(-c2c(O)cc(-c3c(O)cc(-c4c(O)cc([*])c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc2c1[*]
l3_p35 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])c5nsnc45)s3)c3nsnc23)s1
l3_p36 CN1C(=O)c2cc([*])ccc2/C1=C1/c2ccc(-c3sc(-c4ccc5c(c4)C(=O)N(C)/C5=C4\c5ccc(-c6sc([*])c7c6OCCO7)cc5C(=O)N4C)c4c3OCCO4)cc2C(=O)N1C
l3_p37 [*]c1ccc(/C=C/c2ccc(-c3ccc(/C=C/c4ccc([*])s4)s3)s2)s1
l3_p38 [*]c1ccc(/C=N/c2ccc(-c3ccc(/C=N/c4ccc([*])s4)s3)s2)s1
l3_p39 CC1(C)c2cc([*])ccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc([*])ccc3-4)cc21
l3_p40 CC1(C)c2cc([*])ccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7ccc(N(c8ccccc8)c8ccc([*])cc8)cc7)ccc5-6)cc4)cc3)cc21
l3_p41 CC1(C)c2cc([*])ccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccc(-c6ccc7c(c6)C(C)(C)c6cc(-c8ccc(N(c9ccccc9)c9ccc(N(c%10ccccc%10)c%10ccc([*])cc%10)cc9)cc8)ccc6-7)cc5)cc4)cc3)cc21
l3_p42 COc1cc([*])sc1-c1cc2sc(-c3cc(OC)c(-c4cc5sc([*])cc5s4)s3)cc2s1
l3_p43 [*]/N=C/c1ccc(N=Cc2ccc([*])s2)s1
l3_p44 [*]/C=C/c1ccc(C=Cc2ccc([*])s2)s1
l3_p45 COc1cc(-c2cc3sc(-c4cc(OC)c(-c5sc(-c6cc7sc(-c8cc(OC)c([*])s8)cc7s6)cc5OC)s4)cc3s2)sc1[*]
l3_p46 COc1cc([*])sc1-c1cc2sc(-c3sc(-c4cc(OC)c(-c5cc6sc(-c7sc([*])cc7OC)cc6s5)s4)cc3OC)cc2s1
l3_p47 [*]C=NC=N[*]
l3_p48 [*]C=CC=C[*]
l3_p49 CN1C(=O)c2cc(-c3ccc(-c4cc5c6c(c(-c7ccc([*])s7)cc7c6c4C(=O)N(C)C7=O)C(=O)N(C)C5=O)s3)c3c4c(cc([*])c(c24)C1=O)C(=O)N(C)C3=O
